م;"أســماء اللجنان النقابية 
 بالشـــــــركات";;;;;
1;اللجنه النقابية بشركة المقاولون العرب - القاهره ;;;;;
2;اللجنه النقابية بشركة المقاولون العرب - أسوان ;;;;;
3;اللجنه النقابية بشركة النصر للمقاولات - حسن علام ;;;;;
4;اللجنه النقابية بشركة مصر لاعمال الاسمنت المسلح ;;;;;
5;اللجنه النقابية بشركة القاهره العامه للمقاولات ;;;;;
6;اللجنه النقابية بشركة المقاولات المصريه - مختار ابراهيم ;;;;;
7;اللجنه النقابية بشركة العربية للاساسات - فيبرو ;;;;;
8;اللجنه النقابية بشركة أطلس العامة للمقاولات;;;;;
9;اللجنه النقابية بشركة العامه للانشاءات -رولان;;;;;
10;اللجنه النقابية بشركة الصعيد العامة للمقاولات ;;;;;
11;اللجنه النقابية بشركة النصر للمبانى والانشاءات - أيجيكو القاهره;;;;;
12;اللجنه النقابية بشركة المصرية العامة للمبانى;;;;;
13;اللجنه النقابية بشركة سيجوارت المعصرة ;;;;;
14;اللجنه النقابية بشركة أسمنت بورتلاند طرة ;;;;;
15;اللجنه النقابية بشركة أسمنت بورتلاند حلوان  _اسيك;;;;;
16;اللجنه النقابية بشركة القومية لانتاج الاسمنت ;;;;;
17;اللجنه النقابية بشركة السويس للاسمنت - القاهره ;;;;;
18;اللجنه النقابية بشركة الجيزة العامة للمقاولات ;;;;;
19;اللجنه النقابية بشركة مصر لانتاج الطوب الطفلى ;;;;;
20;اللجنه النقابية بشركة النيل العامه للطرق والكبارى ;;;;;
21;اللجنه النقابية بشركة النيل العامه لانشاء الطرق ;;;;;
22;اللجنه النقابية بشركة النيل العامه للانشاء والرصف;;;;;
23;اللجنه النقابية بشركة النيل العامه للطرق الصحراوية  _القاهرة;;;;;
24;اللجنه النقابية بشركة الهيئة العامه للطرق والكبارى - القاهرة ;;;;;
25;اللجنه النقابية بشركةالتعمير والاستشارات الهندسية ;;;;;
26;اللجنه النقابية بشركة المكتب العربى للتصميمات الهندسية ;;;;;
27;اللجنه النقابية بشركة المعادى للتنمية والتعمير ;;;;;
28;اللجنه النقابية بشركة مدينة نصر للاسكان والتعمير ;;;;;
29;اللجنه النقابية بشركة الشمس للاسكان والتعمير  ;;;;;
30;اللجنه النقابية بشركة النصر للاسكان والتعمير وصيانة المبانى;;;;;
31;اللجنه النقابية بشركة المساهمة المصرية - القاهرة ;;;;;
32;اللجنه النقابية بشركة الصناعات الهندسية والمعمارية - ايكون ;;;;;
33;اللجنه النقابية بشركة العامه لمنتجات الخزف والصينى  ;;;;;
34;اللجنه النقابية بشركة سيجوارت شبرا الخيمة ;;;;;
35;اللجنه النقابية بشركة النيل العامه للطرق الصحراوية - شبرا الخيمة ;;;;;
36;اللجنه النقابية بشركة طرق وكبارى القليوبية ;;;;;
37;اللجنه النقابية بشركة مصنع الطوب الرملى - قويسنا ;;;;;
38;اللجنه النقابية بشركة طرق ونقل طنطا - الغربية ;;;;;
39;اللجنه النقابية بشركة طرق ونقل كفر الشيخ ;;;;;
40;اللجنه النقابية بشركة طرق ونقل دمنهور - بحيرة  ;;;;;
41;اللجنه النقابية بشركةالنصر للمبانى والانشاءات - ايجيكو اسكندرية ;;;;;
42;اللجنه النقابية بشركةأسمنت بورتلاند اسكندرية - بلوسيركل  ;;;;;
