الإيرادات,المبلغ,,المصروفات,المبلغ,
ايجار شبكات,335000,,مرتبات,1705917.17,
بنك المهارات المصرى,312369.5,,تدريب,373561.55,
مشروع مهارتى أسيوط,258400,,مناسبات دينية,201841.72,
ايجار ورش تدريب,150250,,مياه واناره,131356.21,
بيع خردة,90450,,مكافأت ومجهودات,113484.28,
بيع كهرباء,77065,,وسائل انتقال,57952.1,
شركة الامل الشريف,33992,,امن وحراسة,36920,
قاعات,7000,,صيانة,27584.75,
,,,شركة مصر للتأمين,21732,
,,,نقل وانتقال,15630,
,,,نظافة وضيافة,10006.47,
,,,اقامة واعاشة,8485,
,,,تليفونات وخدمات انترنت,6835.3,
,,,ادوات كتابية ومطبوعات ومستلزمات كمبيوتر,4283,
,,,مصروفات علاج,4141,
,,,اتعاب المحاسب,3000,
,,,مصروفات بنكية,1697.34,
,,,بدلات سفر,1200,
,,,متنوعة,200,
إجمالي الإيرادات,1264526.5,,إجمالي المصروفات,2725827.8899999997,
,,,,,
نتيجة العام,-1461301.3899999997,,فائض موجب / عجز سالب,,
