كلي,جزئي,البيان,مقارن,كلي,جزئي,البيان,مقارن
2484.54,2484.54,خصم واضافة ومهن حرة,,575000,575000,اللجنة المهنية للبناء والأخشاب,
4000,4000,المدينين,,305000,305000,النقابة العامة للبناء والأخشاب,
,,,,1805.21,1805.21,كسب العمل,
,,,,362286.96,362286.96,تأمينات اجتماعية,
,,,,193,193,أخرى,
,,,,223000.76,223000.76,البنك,
,,,,-1460801.39,-1460801.39,فائض / (عجز) العام,
6484.54,,إجمالي الأصول / الأرصدة المدينة,,6484.540000000037,,إجمالي الخصوم / الأرصدة الدائنة,
,,,,,,,
ملاحظة: هذه القائمة مبنية من الأرصدة الموجودة في قاعدة بيانات البرنامج الحالية، وأي أرصدة افتتاحية أو أصول ثابتة غير مستوردة ستظل غير ظاهرة حتى إضافتها للبرنامج.,,,,,,,
