مسلسل,الشهر,التاريخ,طريقة السداد,المصدر,البيان,الإيراد,مقبوضات بنك,مدفوعات بنك,صافي البنك,
1,يناير,2024-01-21,شيك مقاصة,بنك المهارات المصرى,باقى مستحقات عدد (2) دورة تدريب سباكة سوهاج,30480,30480,0,30480,
2,يناير,2024-01-21,شيك مقاصة,بنك المهارات المصرى,باقى مستحقات دورة تدريب كهرباء سوهاج,15240,15240,0,15240,
3,يناير,2024-01-21,شيك مقاصة,بنك المهارات المصرى,باقى مستحقات دورة تدريب سباكة سوهاج,8572,8572,0,8572,
4,يناير,2024-01-21,شيك مقاصة,بنك المهارات المصرى,باقى مستحقات عدد (2) دورة تدريب تبريد وتكييف سوهاج,52387.5,52387.5,0,52387.5,
5,فبراير,2024-02-22,ايداع نقدى,قاعات,ايجار قاعة للنقابة العامة,500,500,0,500,
6,فبراير,2024-02-27,شيك مقاصة,شركة الامل الشريف,شركة الامل الشريف تدريب سباكة,17492,16968,0,16968,
7,فبراير,2024-02-27,شيك مقاصة,شركة الامل الشريف,شركة الامل الشريف تدريب سباكة,16500,16005,0,16005,
8,فبراير,2024-02-28,شيك مقاصة,بيع كهرباء,الشركة المصرية للاتصالات بيع كهرباء,11065,11065,0,11065,
9,مارس,2024-03-04,شيك مقاصة,بنك المهارات المصرى,بنك تنمية المهارات المصرى ( دفعة مقدمة ),101248,101248,0,101248,
10,مارس,2024-03-10,تحويل بنكى,ايجار شبكات,الشركة المصرية لاتصالات مصر we ( نصف الايجار السنوى لبرج الاتصالات ),75000,75000,0,75000,
11,مارس,2024-03-18,شيك مقاصة,بنك المهارات المصرى,بنك تنمية المهارات المصرى ( تدريب تبريد وتكييف ),31350,31350,0,31350,
12,مارس,2024-03-18,شيك مقاصة,بنك المهارات المصرى,بنك تنمية المهارات المصرى ( تدريب تمهيدى سباكة ),42862,42862,0,42862,
13,مارس,2024-03-18,شيك مقاصة,بنك المهارات المصرى,بنك تنمية المهارات المصرى ( تدريب سباكة - م 1 ),30230,30230,0,30230,
14,مارس,2024-03-20,قسيمة ايداع,قاعات,ايداع نقدى ايجار قاعة للنقابة العامة,1000,1000,0,1000,
15,أبريل,2024-04-21,شيك مقاصة,بيع كهرباء,شركة اورنج مصر للاتصالات بيع كهرباء من يناير حتى يونيو 2024,33000,33000,0,33000,
16,أبريل,2024-04-21,شيك مقاصة,ايجار شبكات,شركة اورنج مصر للاتصالات الايجار السنوى لبرج الاتصالات,180000,180000,0,180000,
17,يونيو,2024-06-02,71,مشروع مهارتى أسيوط,تدريب كهرباء مشروع مهاراتى دفعة اولى,51000,51000,0,51000,
18,يوليو,2024-07-17,,مشروع مهارتى أسيوط,باقى مستحقات تدريب كهرباء مشروع اسيوط,47600,47600,0,47600,
19,يوليو,2024-07-31,,مشروع مهارتى أسيوط,دفعة مقدمة تدريب اجهزة منزلية مشروع مهاراتى - اسيوط,85000,85000,0,85000,
20,أغسطس,2024-08-20,,قاعات,ايجار قاعة للنقابة العامة,500,500,0,500,
21,أغسطس,2024-08-28,,قاعات,ايجار قاعة للنقابة العامة,500,500,0,500,
22,أغسطس,2024-08-28,,ايجار ورش تدريب,ايرادات تدريب دار نهضة مصر,20000,20000,0,20000,
23,سبتمبر,2024-09-03,,قاعات,ايجار قاعة للنقابة العامة,500,500,0,500,
24,سبتمبر,2024-09-05,,بيع خردة,ايرادات بيع خرده,90450,90450,0,90450,
25,سبتمبر,2024-09-09,,بيع كهرباء,ايرادات بيع كهرباء شركة اورونج عدد 6 شهور,33000,33000,0,33000,
26,سبتمبر,2024-09-10,,ايجار شبكات,ايرادات نصف الايجار السنوى شركة WE,80000,80000,0,80500,
27,سبتمبر,2024-09-23,,مشروع مهارتى أسيوط,ايرادات تدريب اجهزة منزلية مشروع مهاراتى - اسيوط,74800,74800,0,74800,
28,سبتمبر,2024-09-25,,قاعات,ايجار قاعة للنقابة العامة,500,500,0,500,
29,سبتمبر,2024-09-29,,قاعات,ايجار قاعة للنقابة العامة,500,500,0,500,
30,سبتمبر,2024-09-29,,ايجار ورش تدريب,شركة ترست جروب ( اختبارات الحاق عماله بالخارج ),71100,71100,0,71100,
31,أكتوبر,2024-10-03,ايداع نقدى,ايجار ورش تدريب,ايرادات شركة تراست جروب,24150,24150,0,24150,
32,أكتوبر,2024-10-03,ايداع نقدى,قاعات,ايراد ايجار قاعة للنقابة العامة,1000,1000,0,1000,
33,نوفمبر,2024-11-20,ايداع نقدى,ايجار ورش تدريب,ايرادات شركة هلزود للخدمات الهندسية,25000,25000,0,25000,
34,نوفمبر,2024-11-28,ايداع نقدى,قاعات,ايراد ايجار قاعة للنقابة العامة,1000,1000,0,1000,
35,ديسمبر,2024-12-01,ايداع نقدى,قاعات,ايراد ايجار قاعة للنقابة العامة,1000,1000,0,1000,
36,ديسمبر,2024-12-01,ايداع نقدى,ايجار ورش تدريب,ايرادات شركة تراست جروب,10000,10000,0,10000,
,,,,,,1264526.5,1263507.5,,,
,,,,,,1019,,,,
