الكود,اسم الحساب,نوع الحساب,طبيعة الحساب,الكود الأب,المستوى,التصنيف المصري,نشط
1000,الأصول,أصول,مدين,,1,قائمة المركز المالي,نعم
1010,البنك,أصول,مدين,1000,2,أصول متداولة,نعم
1011,بنك مصر,أصول,مدين,1010,3,أصول متداولة,نعم
1020,المدينين,أصول,مدين,1000,2,أصول متداولة,نعم
1030,الأصول,أصول,مدين,1000,2,أصول أخرى,نعم
2000,الخصوم والالتزامات,خصوم,دائن,,1,قائمة المركز المالي,نعم
2010,اللجنة المهنية للبناء والأخشاب,خصوم,دائن,2000,2,جهات ذات صلة,نعم
2020,النقابة العامة للبناء والأخشاب,خصوم,دائن,2000,2,جهات ذات صلة,نعم
2030,وثيقة التأمين التكافلى,خصوم,دائن,2000,2,استقطاعات مستحقة,نعم
2040,كسب العمل,خصوم,دائن,2000,2,ضرائب مستحقة,نعم
2050,خصم واضافة ومهن حره,خصوم,دائن,2000,2,ضرائب مستحقة,نعم
2060,تأمينات اجتماعية,خصوم,دائن,2000,2,تأمينات مستحقة,نعم
2070,أخرى,خصوم,دائن,2000,2,التزامات أخرى,نعم
3000,صافي الأصول / الفائض المتراكم,حقوق,دائن,,1,صافي أصول,نعم
4000,إيرادات,إيرادات,دائن,,1,قائمة الدخل,نعم
5000,مصروفات,مصروفات,مدين,,1,قائمة الدخل,نعم
5010,مناسبات دينية,مصروفات,مدين,5000,2,تحليل المصروفات,نعم
5020,حدائق,مصروفات,مدين,5000,2,تحليل المصروفات,نعم
5030,امن وحراسة,مصروفات,مدين,5000,2,تحليل المصروفات,نعم
5040,بدلات سفر,مصروفات,مدين,5000,2,تحليل المصروفات,نعم
5050,اقامة واعاشة,مصروفات,مدين,5000,2,تحليل المصروفات,نعم
5060,مصروفات بنكية,مصروفات,مدين,5000,2,تحليل المصروفات,نعم
5070,شركة مصر للتأمين,مصروفات,مدين,5000,2,تحليل المصروفات,نعم
5080,مصروفات علاج,مصروفات,مدين,5000,2,تحليل المصروفات,نعم
5090,وسائل انتقال,مصروفات,مدين,5000,2,تحليل المصروفات,نعم
5100,تدريب,مصروفات,مدين,5000,2,تحليل المصروفات,نعم
5110,متنوعة,مصروفات,مدين,5000,2,تحليل المصروفات,نعم
5120,لوازم ورش,مصروفات,مدين,5000,2,تحليل المصروفات,نعم
5130,صيانة,مصروفات,مدين,5000,2,تحليل المصروفات,نعم
5140,مياه واناره,مصروفات,مدين,5000,2,تحليل المصروفات,نعم
5150,تليفونات وخدمات انترنت,مصروفات,مدين,5000,2,تحليل المصروفات,نعم
5160,نظافة وضيافة,مصروفات,مدين,5000,2,تحليل المصروفات,نعم
5170,ادوات كتابية ومطبوعات ومستلزمات كمبيوتر,مصروفات,مدين,5000,2,تحليل المصروفات,نعم
5180,نقل وانتقال,مصروفات,مدين,5000,2,تحليل المصروفات,نعم
5190,اتعاب المحاسب,مصروفات,مدين,5000,2,تحليل المصروفات,نعم
5200,مكافأت ومجهودات,مصروفات,مدين,5000,2,تحليل المصروفات,نعم
5210,مرتبات,مصروفات,مدين,5000,2,تحليل المصروفات,نعم
