رقم الشهر,الشهر,إجمالي المصروفات,إجمالي الإيرادات,مقبوضات البنك,مدفوعات البنك,صافي البنك
1,يناير,201502.4,106679.5,406679.5,351441.57,55237.92999999999
2,فبراير,239382.53,45557,44538,209025.92,-164487.92
3,مارس,196077.58,281690,281690,208305.58,73384.42000000001
4,أبريل,263524.45,213000,214406,195407.55,18998.45000000001
5,مايو,241730.55,0,802.3,146351.41,-145549.11000000002
6,يونيو,65054.28,51000,106000,83038.35,22961.649999999994
7,يوليو,374548.65,132600,297600,327019.89,-29419.890000000014
8,أغسطس,180096.05,21000,132709,145448.73,-12739.73000000001
9,سبتمبر,404187.1,350850,350850,317788.33,33061.669999999984
10,أكتوبر,199536.43,25150,105150,163924.57,-58774.57000000001
11,نوفمبر,110,26000,26000,18110,7890
12,ديسمبر,360077.87,11000,234643,258706.66,-24063.660000000003
,الإجمالي,2725827.89,1264526.5,2201067.8,2424568.56,-223500.76000000007
