اسم الحساب,مدين,دائن,رصيد مدين,رصيد دائن,,
مصروفات,2725827.89,0,2725827.89,0,,
إيرادات,0,1264526.5,0,1265026.5,,
اللجنة المهنية للبناء والأخشاب,50000,625000,0,575000,,
النقابة العامة للبناء والأخشاب,0,305000,0,305000,,
وثيقة التأمين التكافلى,25062,25062,0,0,,
كسب العمل,76949.6,78754.81,0,1805.21,,
خصم واضافة ومهن حرة,3114.28,629.74,2484.54,0,,
تأمينات اجتماعية,0,362286.96,0,362286.96,,
أخرى,662,855,0,193,,
المدينين,321000,317000,4000,0,,
الأصول,0,0,0,0,,
البنك,2201067.8,2424568.56,0,223000.76,,
إجمالي ميزان المراجعة,5403683.57,5403683.57,2732312.43,2732312.4299999997,,
فرق الميزان,0,0,0,0,,
