التاريخ,المسلسل,رقم الإذن,رقم الشيك,البيان,حساب مدين,حساب دائن,المبلغ,مرحّل
2025-03-25,1,,,مصاريف خدمة الحساب,بنكية,بنك القاهرة - لجنة مصر الجديدة,75,نعم
2025-06-25,2,,,مصاريف خدمة الحساب,بنكية,بنك القاهرة - لجنة مصر الجديدة,75,نعم
2025-06-30,3,,,مصاريف كشف حساب دورى,بنكية,بنك القاهرة - لجنة مصر الجديدة,150,نعم
2025-07-31,4,,1300000065001,ب بشيك من الحساب/احمد جابر حسين 1300000065001,مدينون متنوعون,بنك القاهرة - لجنة مصر الجديدة,10500,نعم
2025-08-03,5,,U16023-5100,إيداع نقدي/ أحمد جابر حسين,بنك القاهرة - لجنة مصر الجديدة,إيرادات من الجان الشركات والهيئات,7350,نعم
2025-08-24,6,,U14583-1700,وليد سيد غريب عبد المنعم,بنك القاهرة - لجنة مصر الجديدة,إيرادات من الجان الشركات والهيئات,37908,نعم
2025-08-21,7,,1300000065002,وليد سيد غريب عبد المنعم,مدينون متنوعون,بنك القاهرة - لجنة مصر الجديدة,54000,نعم
2025-08-21,8,,,عمولة سحب على ايداع قبل الاستحقاق,بنكية,بنك القاهرة - لجنة مصر الجديدة,50,نعم
2025-08-31,9,,U16023-5800,إيداع نقدي/ وليد سيد غريب,بنك القاهرة - لجنة مصر الجديدة,إيرادات من الجان الشركات والهيئات,35156,نعم
2025-08-28,10,,1300000065003,ب شيك من الحساب/ وليد سيد غريب,مدينون متنوعون,بنك القاهرة - لجنة مصر الجديدة,50080,نعم
2025-08-28,11,,,عمولة سحب على ايداع قبل الاستحقاق,بنكية,بنك القاهرة - لجنة مصر الجديدة,62.2,نعم
2025-09-14,12,,1300000065005,وليد سيد غريب عبد المنعم,مدينون متنوعون,بنك القاهرة - لجنة مصر الجديدة,850,نعم
2025-09-15,13,,U14583-4800,وليد سيد غريب عبد المنعم,بنك القاهرة - لجنة مصر الجديدة,إيرادات من الجان الشركات والهيئات,595,نعم
2025-09-14,14,,1300000065006,وليد سيد غريب عبد المنعم,مدينون متنوعون,بنك القاهرة - لجنة مصر الجديدة,200,نعم
2025-09-18,15,,0000000004941,إيداع شيك,بنك القاهرة - لجنة مصر الجديدة,إيرادات من الجان الشركات والهيئات,9990,نعم
2025-09-15,16,,U16023-500,ف تحصيل شيك رقم 0000000004941,بنكية,بنك القاهرة - لجنة مصر الجديدة,1,نعم
2025-09-15,17,,U16023-500,ف تحصيل شيك رقم 0000000004941,بنكية,بنك القاهرة - لجنة مصر الجديدة,25,نعم
2025-09-22,18,,0000000005283,إيداع شيك,بنك القاهرة - لجنة مصر الجديدة,إيرادات من الجان الشركات والهيئات,22809,نعم
2025-09-17,19,,U20502-200,ف تحصيل شيك رقم 0000000005283,بنكية,بنك القاهرة - لجنة مصر الجديدة,1,نعم
2025-09-17,20,,U20502-200,ف تحصيل شيك رقم 0000000005283,بنكية,بنك القاهرة - لجنة مصر الجديدة,25,نعم
2025-09-23,21,,1300000065004,ب شيك من الحساب/ وليد سيد غريب,مدينون متنوعون,بنك القاهرة - لجنة مصر الجديدة,19250,نعم
2025-09-25,22,,,مصاريف خدمة الحساب,بنكية,بنك القاهرة - لجنة مصر الجديدة,150,نعم
