الكود القديم;اسم الحساب;كود القسم;اسم القسم;الكود الجديد;نوع الحساب;طبيعة الحساب;ملاحظات
1200;;;;;;;
001;بنك مصر;1200;نقدية بالبنوك والخزينة;1201;أصول;مدين;
002;بنك العمال 1;1200;نقدية بالبنوك والخزينة;1202;أصول;مدين;
003;بنك العمال 2;1200;نقدية بالبنوك والخزينة;1203;أصول;مدين;
004;بنك العمال دولار;1200;نقدية بالبنوك والخزينة;1204;أصول;مدين;
005;بنك العمال يورو;1200;نقدية بالبنوك والخزينة;1205;أصول;مدين;
006;أذون الخزانة;1200;نقدية بالبنوك والخزينة;1206;أصول;مدين;
007;قروض;1200;نقدية بالبنوك والخزينة;1207;أصول;مدين;تم التأكيد: قرض ممنوح من النقابة لجهة أخرى (أصل). كان مصنفاً خطأً كالتزام في ملف الإكسل الحالي - يلزم تصحيحه.
008;الودائع;1200;نقدية بالبنوك والخزينة;1208;أصول;مدين;
009;اسهم بنك التنمية;1200;نقدية بالبنوك والخزينة;1209;أصول;مدين;استثمارات طويلة الأجل (اسهم بنك التنمية الصناعية والعمال المصرى)
010;بنك القاهرة - لجنة مصر الجديدة;1200;نقدية بالبنوك والخزينة;1210;أصول;مدين;حساب اللجنة النقابية للعاملين بشركة مصر الجديدة لدى بنك القاهرة (لا: 735010009241)
4000;;;;;;;
010;إيرادات من اللجان المهنية;4000;إيرادات النقابة;4001;إيرادات;دائن;
011;إيرادات من الجان الشركات والهيئات;4000;إيرادات النقابة;4002;إيرادات;دائن;
012;الإيرادات من المطبوعات;4000;إيرادات النقابة;4003;إيرادات;دائن;
013;الإيرادات من عائد الودائع;4000;إيرادات النقابة;4004;إيرادات;دائن;
014;الإيرادات من دعم التثقيف;4000;إيرادات النقابة;4005;إيرادات;دائن;
015;الإيرادات المتنوعة;4000;إيرادات النقابة;4006;إيرادات;دائن;
016;إيرادات مصيف مطروح;4000;إيرادات النقابة;4007;إيرادات;دائن;
017;إيرادات مصيف جمصة;4000;إيرادات النقابة;4008;إيرادات;دائن;
018;ايرادات ابراج شبكات الاتصالات;4000;إيرادات النقابة;4009;إيرادات;دائن;
019;إيرادات سنوات سابقة;4000;إيرادات النقابة;4013;إيرادات;دائن;
020;إيرادات مكاتب شئون العضوية;4000;إيرادات النقابة;4011;إيرادات;دائن;
021;إيرادات مقدمة;4000;إيرادات النقابة;4012;إيرادات;دائن;ملاحظة محاسبية: من الناحية النظرية هذا البند أقرب لالتزام (إيراد مؤجل) وليس إيراد محقق، لكن اُبقي على تصنيفه الحالي كإيراد كما في السجلات الفعلية إلى حين مراجعة المحاسب المختص.
1100;;;;;;;
022;مناسبات متنوعة;1100;الأصول المتداولة;1120;أصول;مدين;عهدة تحت التسوية - قرار: تبقى أصل ولا تُقفل كمصروف تلقائياً (حسب توجيه المستخدم).
3000;;;;;;;
023;علاج ومستلزمات طبية;3000;مصروفات النقابة (نشاط);3002;مصروفات;مدين;
024;مصاريف محاماة;3000;مصروفات النقابة (نشاط);3003;مصروفات;مدين;
025;مصاريف وساطة;3000;مصروفات النقابة (نشاط);3004;مصروفات;مدين;
026;بدل لتفرغ;3000;مصروفات النقابة (نشاط);3005;مصروفات;مدين;
027;بدلات أعضاء مجلس الادارة;3000;مصروفات النقابة (نشاط);3006;مصروفات;مدين;
028;حافزاعياد ومناسبات;3000;مصروفات النقابة (نشاط);3007;مصروفات;مدين;
029;تعويضات ومساهمات;3000;مصروفات النقابة (نشاط);3008;مصروفات;مدين;
030;اتعاب محاسبة;3000;مصروفات النقابة (نشاط);3009;مصروفات;مدين;كان مصنفاً خطأً كأصل في ملف الإكسل الحالي (رصيده ظهر ضمن قائمة الأصول) - الصحيح محاسبياً أنه مصروف.
031;بدل جلسات;3000;مصروفات النقابة (نشاط);3010;مصروفات;مدين;
1100;;;;;;;
032;اشتراكات الاتحاد الدولى;1100;الأصول المتداولة;1121;أصول;مدين;عهدة تحت التسوية - تبقى أصل حسب توجيه المستخدم (وليس مصروف كما في مقترح سابق).
033;مكاتب شئون العضوية;1100;الأصول المتداولة;1122;أصول;مدين;عهدة تحت التسوية، رصيد كبير (~1.18 مليون ج.م) - تبقى أصل حسب توجيه المستخدم.
3000;;;;;;;
034;اعانات اجتماعية;3000;مصروفات النقابة (نشاط);3013;مصروفات;مدين;
035;لجان ثلاثية;3000;مصروفات النقابة (نشاط);3014;مصروفات;مدين;
1100;;;;;;;
036;مجمع لجان الإسكندرية;1100;الأصول المتداولة;1123;أصول;مدين;عهدة تحت التسوية - تبقى أصل حسب توجيه المستخدم.
037;عمارة المعادى;1100;الأصول المتداولة;1124;أصول;مدين;عهدة تحت التسوية - تبقى أصل حسب توجيه المستخدم.
038;حصص اللجان النقابية بالشركات من الاشتركات;1100;الأصول المتداولة;1125;أصول;مدين;عهدة تحت التسوية، رصيد كبير (~1.44 مليون ج.م) - تبقى أصل حسب توجيه المستخدم.
3000;;;;;;;
039;مصروفات مصيف مطروح;3000;مصروفات النقابة (نشاط);3018;مصروفات;مدين;
040;مصروفات مصيف جمصة;3000;مصروفات النقابة (نشاط);3019;مصروفات;مدين;
041;مصروفات إدارية المقر الرئيسى;3000;مصروفات النقابة (نشاط);3020;مصروفات;مدين;
042;بدلات سفر خارجية;3000;مصروفات النقابة (نشاط);3021;مصروفات;مدين;
043;نشاط اجتماعى وثقافى;3000;مصروفات النقابة (نشاط);3022;مصروفات;مدين;
5000;;;;;;;
044;علاقات عامة;5000;مصروفات عمومية وإدارية;5001;مصروفات;مدين;
045;مصاريف اجتماعات;5000;مصروفات عمومية وإدارية;5002;مصروفات;مدين;
046;رسوم;5000;مصروفات عمومية وإدارية;5003;مصروفات;مدين;
047;ايجار;5000;مصروفات عمومية وإدارية;5004;مصروفات;مدين;
048;اكراميات ونثريات;5000;مصروفات عمومية وإدارية;5005;مصروفات;مدين;
049;اعلانات;5000;مصروفات عمومية وإدارية;5006;مصروفات;مدين;
050;كهرباء;5000;مصروفات عمومية وإدارية;5007;مصروفات;مدين;
051;بريد;5000;مصروفات عمومية وإدارية;5008;مصروفات;مدين;أُبقي منفصلاً عن حساب 093 (دمغة) رغم أن أحد المقترحات دمجهما اسمياً 'بريد ودمغة' - الدمغة التزام مستقل (093) وليست جزءاً من هذا المصروف.
052;غاز;5000;مصروفات عمومية وإدارية;5009;مصروفات;مدين;
053;تليفون;5000;مصروفات عمومية وإدارية;5010;مصروفات;مدين;
054;مياه;5000;مصروفات عمومية وإدارية;5011;مصروفات;مدين;
055;رسوم اشتراك فى الاهرام وصحف;5000;مصروفات عمومية وإدارية;5012;مصروفات;مدين;
056;ضيافة وبوفيه;5000;مصروفات عمومية وإدارية;5013;مصروفات;مدين;
057;صيانه;5000;مصروفات عمومية وإدارية;5014;مصروفات;مدين;
058;مطبوعات وادوات كتابية;5000;مصروفات عمومية وإدارية;5015;مصروفات;مدين;
059;السيارة;5000;مصروفات عمومية وإدارية;5016;مصروفات;مدين;
060;بنكية;5000;مصروفات عمومية وإدارية;5017;مصروفات;مدين;
061;ادوات نظافة ومنظفات;5000;مصروفات عمومية وإدارية;5018;مصروفات;مدين;
062;مستلزمات طبية ( كورونا );5000;مصروفات عمومية وإدارية;5019;مصروفات;مدين;
063;بدل سفر وانتقال;5000;مصروفات عمومية وإدارية;5020;مصروفات;مدين;
064;انتقالات داخلية;5000;مصروفات عمومية وإدارية;5021;مصروفات;مدين;
065;النت;5000;مصروفات عمومية وإدارية;5022;مصروفات;مدين;
066;مرتبات ومكافأة شاملة;5000;مصروفات عمومية وإدارية;5023;مصروفات;مدين;
1100;;;;;;;
067;تأمين على الخزينة;1100;الأصول المتداولة;1126;أصول;مدين;عهدة/رصيد معلق - تبقى أصل حسب توجيه المستخدم.
5000;;;;;;;
068;مكافأت وبدل العمل أيام الاجازات الرسمية;5000;مصروفات عمومية وإدارية;5025;مصروفات;مدين;
069;مستلزمات كمبيوتر;5000;مصروفات عمومية وإدارية;5026;مصروفات;مدين;
070;مستلزمات مكتب رئيس مجلس الإدارة;5000;مصروفات عمومية وإدارية;5027;مصروفات;مدين;
1100;;;;;;;
071;مدينون متنوعون;1100;الأصول المتداولة;1101;أصول;مدين;
072;الاتحاد العام;1100;الأصول المتداولة;1102;أصول;مدين;
073;جهاز مشروعات أسيوط;1100;الأصول المتداولة;1103;أصول;مدين;
074;سلف العاملين;1100;الأصول المتداولة;1104;أصول;مدين;
075;مركز التدريب;1100;الأصول المتداولة;1105;أصول;مدين;
076;تأمين تكافلى;1100;الأصول المتداولة;1106;أصول;مدين;عهدة معلقة - تبقى أصل حسب توجيه المستخدم (وليس التزام). ملاحظة: يوجد حساب مشابه الاسم 092 'تامين تكافلى422' - يُرجى التأكيد مع المحاسب المختص إن كانا حسابين مختلفين فعلاً أم تكراراً.
2200;;;;;;;
077;تأمينات للغير;2200;الالتزامات المتداولة;2215;التزامات;دائن;يحتاج تأكيد إضافي: منطقياً التزام (مبالغ مؤمَّن عليها لصالح الغير)، وهذا متوافق مع تصنيف ملف الإكسل الحالي.
1100;;;;;;;
078;المؤسسة الثقافية;1100;الأصول المتداولة;1108;أصول;مدين;
079;إيرادات مستحقة;1100;الأصول المتداولة;1109;أصول;مدين;تصحيح محاسبي: 'إيرادات مستحقة' (Accrued Revenue) هي أصل (مبلغ مستحق التحصيل) وليست بند إيراد منفصل في قائمة الدخل. كانت مصنفة كإيراد في ملف الإكسل الحالي.
080;مصروفات مدفوعة مقدمة;1100;الأصول المتداولة;1110;أصول;مدين;تصحيح محاسبي: 'مصروفات مدفوعة مقدمة' (Prepaid Expenses) أصل وليست مصروفاً محققاً. كانت مصنفة كمصروف في ملف الإكسل الحالي.
081;اشتركات لجان الشركات والهيئات;1100;الأصول المتداولة;1111;أصول;مدين;مدينون - مبالغ مستحقة التحصيل من لجان الشركات، وليست إيراداً محققاً (رصيدها صفر حالياً). دُمج معه الحساب المكرر رقم 100 بنفس الاسم.
2200;;;;;;;
082;قروض عاملين بنك التنمية 2021;2200;الالتزامات المتداولة;2213;التزامات;دائن;القسط المستحق سداده لبنك التنمية (مقابل حساب 102 وهو الوجه الآخر: المبلغ المُقرض للعامل كأصل).
083;ضريبة كسب العمل;2200;الالتزامات المتداولة;2201;التزامات;دائن;
084;ضرائب الخصم والاضافة;2200;الالتزامات المتداولة;2202;التزامات;دائن;
085;أقساط النفقة;2200;الالتزامات المتداولة;2203;التزامات;دائن;
086;أقساط قروض بنك التنمية لبعض العاملين;2200;الالتزامات المتداولة;2204;التزامات;دائن;
087;التأمينات الاجتماعية;2200;الالتزامات المتداولة;2205;التزامات;دائن;
088;خصم كورونا;2200;الالتزامات المتداولة;2206;التزامات;دائن;
089;خصم جزاءات;2200;الالتزامات المتداولة;2207;التزامات;دائن;
1100;;;;;;;
090;مهنية دمياط;1100;الأصول المتداولة;1127;أصول;مدين;عهدة معلقة - تبقى أصل حسب توجيه المستخدم (وليس التزام كما في مقترح سابق).
2200;;;;;;;
091;أقساط تامين;2200;الالتزامات المتداولة;2209;التزامات;دائن;
1100;;;;;;;
