التاريخ,المسلسل,رقم الإذن,رقم الشيك,البيان,حساب مدين,حساب دائن,المبلغ,مرحّل
2024-01-08,22,35255,76297064,حنان عاطف محمود طاهر استعاضة الادوية ,علاج ومستلزمات طبية,بنك مصر,2725,نعم
2024-01-08,21,35254,76297063,محمود عبد الوهاب عبد الرحيم ابراهيم عهدة مستديمة للشئون القانونية,مدينون متنوعون,بنك مصر,10000,نعم
2024-01-08,20,35253,76297062,أحمد محمد أحمد مقدونة عهدة مستديمة مكتي شئون العضوية - طنطا,مدينون متنوعون,بنك مصر,3000,نعم
2024-01-08,19,35252,76297061,حنان ماضى محمود محمد عهدة مستديمة مكتب شئون العضوية - المنيا ,مدينون متنوعون,بنك مصر,1000,نعم
2024-01-08,18,35251,76297060,أحمد نعمان محمد عهدة مستديمة مكتب شئون العضوية - المنصورة 1,مدينون متنوعون,بنك مصر,1000,نعم
2024-01-08,17,35250,76297059,رجب محمد حسان سيد عهدة مستديمة مكتب 6 أكتوبر  ,مدينون متنوعون,بنك مصر,1000,نعم
2024-01-08,16,35249,76297058,محمد محمد حسن عهدة مستديمة لاستراحة الاسكندرية,مدينون متنوعون,بنك مصر,500,نعم
2024-01-08,15,35248,76297057,محمد محمد حسن عهدة مستديمة للقيام بالمرور على لجان كفر الشيخ والبحيرة والمحمودية,مدينون متنوعون,بنك مصر,5000,نعم
2024-01-04,14,35247,76297056,محمد شلبى أحمد مصروفات وساطة ,مصاريف وساطة,بنك مصر,1500,نعم
2024-01-14,13,35246,76297055,كريم ابراهيم عبد الحميد فرج عهدة مستديمة ادوات كتابية ومشروبات مكتب رئيس مجلس الإدارة ,مدينون متنوعون,بنك مصر,15000,نعم
2024-01-06,12,35245,76297054,عصام ابو بكر حجاج يوسف عهدة مستديمة المقر الرئيسى,مدينون متنوعون,بنك مصر,10000,نعم
2024-01-06,11,35244,76297053,دعاء حسين رمضان محمد عهدة مستديمة مكتب شئون العضوية - بنى سويف,مدينون متنوعون,بنك مصر,3000,نعم
2024-01-04,10,35243,76297052,عبد الحميد عبد العزيز الخولى عهدة مستديمة مكتب شئون العضوية - بور سعيد,مدينون متنوعون,بنك مصر,5000,نعم
2024-01-06,9,35242,76297051,مسعد صالح محمد جاد عهدة مستديمة مكاتب شئون العضوية - المنصورة 2,مدينون متنوعون,بنك مصر,10000,نعم
2024-01-06,8,35241,76297050,حسين ثابت حسن أحمد عهدة مستديمة مكتب شئون العضوية -أسيوط,مدينون متنوعون,بنك مصر,2000,نعم
2024-01-06,7,35240,76297049,علاء سعيد رزق عبد العزيز عهدة مكتب دسوق,مدينون متنوعون,بنك مصر,5000,نعم
2024-01-03,6,35239,76297048,هشام مصطفى محمد عهدة هدايا عام 2024 ,مدينون متنوعون,بنك مصر,5000,نعم
2024-01-03,5,35238,76297047,محمد عبد الله أحمد عهدة للقيام بأمورية جرد مصايف ,مدينون متنوعون,بنك مصر,20000,نعم
2024-01-03,4,35237,76297046,هشام مصطفى محمد عهدة مصروفات تشغيل مصيف مرسى مطروح,مدينون متنوعون,بنك مصر,10000,نعم
2024-01-02,3,35236,76297045,طارق سيد على خلاف عهدة مستديمة للسيارة التوسان ,مدينون متنوعون,بنك مصر,5000,نعم
2024-01-02,2,35235,76297044,طارق ابراهيم سليمان مصطفى عهدة مصرفات تشغيل مصيف جمصة,مدينون متنوعون,بنك مصر,15000,نعم
2024-01-02,1,35234,76297043,حنان عاطف محمود طاهر عهدة مستديمة للأدوية,مدينون متنوعون,بنك مصر,3000,نعم
