التاريخ,المسلسل,رقم الإذن,رقم الشيك,البيان,حساب مدين,حساب دائن,المبلغ,مرحّل
2023-01-10,1,,1300000064991,1300000064991 سحب بشيك كريم سيد,مدينون متنوعون,بنك القاهرة - لجنة مصر الجديدة,500,نعم
2023-02-28,2,,,رصيد منقول كشف حساب دورى,بنك القاهرة - لجنة مصر الجديدة,بنكية,50,نعم
2023-03-23,3,,,مصاريف كشف حساب,بنكية,بنك القاهرة - لجنة مصر الجديدة,50,نعم
2023-03-23,4,,,مصاريف خدمة الحساب,بنكية,بنك القاهرة - لجنة مصر الجديدة,50,نعم
2023-04-05,5,,302716792,إيداع شيك رقم,بنك القاهرة - لجنة مصر الجديدة,إيرادات من الجان الشركات والهيئات,11882,نعم
2023-04-05,6,,302716792,تحصيل شيك رقم,بنكية,بنك القاهرة - لجنة مصر الجديدة,1,نعم
2023-04-05,7,,302716792,إيداع شيك رقم,بنك القاهرة - لجنة مصر الجديدة,إيرادات من الجان الشركات والهيئات,12186,نعم
2023-04-10,8,,302716792,تحصيل شيك رقم,بنكية,بنك القاهرة - لجنة مصر الجديدة,25,نعم
2023-05-11,9,,302716780,تحصيل شيك رقم,بنكية,بنك القاهرة - لجنة مصر الجديدة,1,نعم
2023-05-11,10,,302716780,تحصيل شيك رقم,بنكية,بنك القاهرة - لجنة مصر الجديدة,25,نعم
2023-05-11,11,,302716780,إيداع شيك رقم,بنك القاهرة - لجنة مصر الجديدة,إيرادات من الجان الشركات والهيئات,1190,نعم
2023-05-16,12,,920135240,إيداع شيك رقم,بنك القاهرة - لجنة مصر الجديدة,إيرادات من الجان الشركات والهيئات,1166,نعم
2023-05-16,13,,920135240,تحصيل شيك رقم,بنكية,بنك القاهرة - لجنة مصر الجديدة,1,نعم
2023-05-30,14,,920135240,تحصيل شيك رقم,بنكية,بنك القاهرة - لجنة مصر الجديدة,25,نعم
2023-05-30,15,,921996200,تحصيل شيك رقم,بنكية,بنك القاهرة - لجنة مصر الجديدة,1,نعم
2023-05-30,16,,921996200,تحصيل شيك رقم,بنكية,بنك القاهرة - لجنة مصر الجديدة,25,نعم
2023-05-30,17,,921996100,إيداع شيك رقم,بنك القاهرة - لجنة مصر الجديدة,إيرادات من الجان الشركات والهيئات,1201,نعم
2023-06-04,18,,921996100,تحصيل شيك رقم,بنكية,بنك القاهرة - لجنة مصر الجديدة,1,نعم
2023-06-04,19,,921996100,تحصيل شيك رقم,بنكية,بنك القاهرة - لجنة مصر الجديدة,25,نعم
2023-06-04,20,,,إيداع شيك,بنك القاهرة - لجنة مصر الجديدة,إيرادات من الجان الشركات والهيئات,13784,نعم
2023-06-07,21,,4857,تحصيل شيك رقم,بنكية,بنك القاهرة - لجنة مصر الجديدة,1,نعم
2023-06-07,22,,4857,تحصيل شيك رقم,بنكية,بنك القاهرة - لجنة مصر الجديدة,25,نعم
2023-06-25,23,,,مصاريف كشف حسا,بنكية,بنك القاهرة - لجنة مصر الجديدة,50,نعم
2023-06-26,24,,,مصاريف خدمة ال,بنكية,بنك القاهرة - لجنة مصر الجديدة,50,نعم
2023-06-26,25,,,مصاريف السنوية,بنكية,بنك القاهرة - لجنة مصر الجديدة,20,نعم
2023-07-30,26,,,رد مصاريف السنوية لخدمة النظم المباشر,بنك القاهرة - لجنة مصر الجديدة,بنكية,20,نعم
2023-07-30,27,,,سحب بشيك المستفيد احمد جابر حسين,مدينون متنوعون,بنك القاهرة - لجنة مصر الجديدة,11550,نعم
2023-08-09,28,,,المستفيد صلاح فؤاد جابر,مدينون متنوعون,بنك القاهرة - لجنة مصر الجديدة,500,نعم
2023-08-13,29,,,إيداع / احمد جابر حسين محمد,بنك القاهرة - لجنة مصر الجديدة,إيرادات من الجان الشركات والهيئات,23040,نعم
2023-08-15,30,,1300000064994,سحب بشيك أشرف فؤاد 1300000064994,مدينون متنوعون,بنك القاهرة - لجنة مصر الجديدة,32280,نعم
2023-09-25,31,,,مصاريف خدمة الحساب,بنكية,بنك القاهرة - لجنة مصر الجديدة,50,نعم
2023-11-14,32,,1742444872,إيداع شيك 001742444872,بنك القاهرة - لجنة مصر الجديدة,إيرادات من الجان الشركات والهيئات,18996,نعم
2023-11-14,33,,4887,إيداع شيك 000000004887,بنك القاهرة - لجنة مصر الجديدة,إيرادات من الجان الشركات والهيئات,10650,نعم
2023-11-09,34,,1742444872,م تحصيل شيك رقم 001742444872,بنكية,بنك القاهرة - لجنة مصر الجديدة,1,نعم
2023-11-09,35,,1742444872,م تحصيل شيك رقم 001742444872,بنكية,بنك القاهرة - لجنة مصر الجديدة,25,نعم
2023-11-09,36,,4887,م تحصيل شيك رقم 000000004887,بنكية,بنك القاهرة - لجنة مصر الجديدة,1,نعم
2023-11-09,37,,4887,م تحصيل شيك رقم 000000004887,بنكية,بنك القاهرة - لجنة مصر الجديدة,25,نعم
2023-11-15,38,,1300000064995,احمد جابر حسين محمد 1300000064995,مدينون متنوعون,بنك القاهرة - لجنة مصر الجديدة,3900,نعم
2023-11-29,39,,1300000064996,ياسر عزت السيد محمد 1300000064996,مدينون متنوعون,بنك القاهرة - لجنة مصر الجديدة,6300,نعم
2023-12-25,40,,,مصاريف خدمة الحساب,بنكية,بنك القاهرة - لجنة مصر الجديدة,50,نعم
2023-12-31,41,,,مصاريف كشف حساب دورى,بنكية,بنك القاهرة - لجنة مصر الجديدة,50,نعم
